Label,Text,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,clean_msg,msg_lower,token,spell,no_stopwords,msg_stemmed,msg_lemmatized,msg_n_gram_2,msg_n_gram_3,msg_n_gram_4,msg_string
negative,"efek pfizer nya marai pengin potong rambut, omaygat mumet",,,,,,,efek pfizer nya marai pengin potong rambut omaygat mumet,efek pfizer nya marai pengin potong rambut omaygat mumet,"['efek', 'pfizer', 'nya', 'marai', 'pengin', 'potong', 'rambut', 'omaygat', 'mumet']","['efek', 'pfizer', 'nya', 'ingin', 'pengin', 'potong', 'rambut', 'omaygat', 'pusing']","['efek', 'pfizer', 'pengin', 'potong', 'rambut', 'omaygat', 'pusing']","['efek', 'pfizer', 'pengin', 'potong', 'rambut', 'omaygat', 'pusing']","['efek', 'pfizer', 'pengin', 'potong', 'rambut', 'omaygat', 'pusing']",[],[],[],efek pfizer pengin potong rambut omaygat pusing
negative,lemesnyaa bgt efek vaksin pfizer ini!! menggigil kaki dingin. badan hanget .. hahaha tau gt  tunda aja .,,,,,,,lemesnyaa bgt efek vaksin pfizer ini menggigil kaki dingin badan hanget  hahaha tau gt  tunda aja ,lemesnyaa bgt efek vaksin pfizer ini menggigil kaki dingin badan hanget  hahaha tau gt  tunda aja ,"['lemesnyaa', 'bgt', 'efek', 'vaksin', 'pfizer', 'ini', 'menggigil', 'kaki', 'dingin', 'badan', 'hanget', 'hahaha', 'tau', 'gt', 'tunda', 'aja']","['lemesnyaa', 'sekali', 'efek', 'vaksin', 'pfizer', 'ini', 'menggigil', 'kaki', 'dingin', 'badan', 'hangat', 'hahaha', 'tau', 'begitu', 'tunda', 'saja']","['lemesnyaa', 'sekali', 'efek', 'vaksin', 'pfizer', 'menggigil', 'kaki', 'dingin', 'badan', 'hangat', 'tau', 'tunda']","['lemesnyaa', 'sekali', 'efek', 'vaksin', 'pfizer', 'gigil', 'kaki', 'dingin', 'badan', 'hangat', 'tau', 'tunda']","['lemesnyaa', 'sekali', 'efek', 'vaksin', 'pfizer', 'menggigil', 'kaki', 'dingin', 'badan', 'hangat', 'tau', 'tunda']",[],[],[],lemesnyaa sekali efek vaksin pfizer gigil kaki dingin badan hangat tau tunda
negative,hadeh efek booster pfizer. pegel linu lemes ngantu,,,,,,,hadeh efek booster pfizer pegel linu lemes ngantu,hadeh efek booster pfizer pegel linu lemes ngantu,"['hadeh', 'efek', 'booster', 'pfizer', 'pegel', 'linu', 'lemes', 'ngantu']","['hadeh', 'efek', 'booster', 'pfizer', 'pegal', 'pegal', 'lemas', 'ngantu']","['hadeh', 'efek', 'booster', 'pfizer', 'pegal', 'pegal', 'lemas', 'ngantu']","['hadeh', 'efek', 'booster', 'pfizer', 'pegal', 'pegal', 'lemas', 'ngantu']","['hadeh', 'efek', 'booster', 'pfizer', 'pegal', 'pegal', 'lemas', 'ngantu']",[],[],[],hadeh efek booster pfizer pegal pegal lemas ngantu
positive,tdk sepenuhnya betul ya. aku tdk ngerasain efek samping apa pun saat selesai injeksi booster pfizer. mungkin tergantung imunitas masing-masing person kali.,,,,,,,tdk sepenuhnya betul ya aku tdk ngerasain efek samping apa pun saat selesai injeksi booster pfizer mungkin tergantung imunitas masingmasing person kali,tdk sepenuhnya betul ya aku tdk ngerasain efek samping apa pun saat selesai injeksi booster pfizer mungkin tergantung imunitas masingmasing person kali,"['tdk', 'sepenuhnya', 'betul', 'ya', 'aku', 'tdk', 'ngerasain', 'efek', 'samping', 'apa', 'pun', 'saat', 'selesai', 'injeksi', 'booster', 'pfizer', 'mungkin', 'tergantung', 'imunitas', 'masingmasing', 'person', 'kali']","['tidak', 'sepenuhnya', 'betul', 'ya', 'aku', 'tidak', 'merasakan', 'efek', 'samping', 'apa', 'pun', 'saat', 'selesai', 'injeksi', 'booster', 'pfizer', 'mungkin', 'tergantung', 'imunitas', 'masingmasing', 'orang', 'kali']","['sepenuhnya', 'betul', 'merasakan', 'efek', 'samping', 'apa', 'selesai', 'injeksi', 'booster', 'pfizer', 'mungkin', 'tergantung', 'imunitas', 'masingmasing', 'orang', 'kali']","['sepenuh', 'betul', 'rasa', 'efek', 'samping', 'apa', 'selesai', 'injeksi', 'booster', 'pfizer', 'mungkin', 'gantung', 'imunitas', 'masingmasing', 'orang', 'kali']","['sepenuhnya', 'betul', 'merasakan', 'efek', 'samping', 'apa', 'selesai', 'injeksi', 'booster', 'pfizer', 'mungkin', 'tergantung', 'imunitas', 'masingmasing', 'orang', 'kali']",[],[],[],sepenuh betul rasa efek samping apa selesai injeksi booster pfizer mungkin gantung imunitas masingmasing orang kali
negative,mantap bener ini efek pfizer.,,,,,,,mantap bener ini efek pfizer,mantap bener ini efek pfizer,"['mantap', 'bener', 'ini', 'efek', 'pfizer']","['mantap', 'benar', 'ini', 'efek', 'pfizer']","['mantap', 'benar', 'efek', 'pfizer']","['mantap', 'benar', 'efek', 'pfizer']","['mantap', 'benar', 'efek', 'pfizer']",[],[],[],mantap benar efek pfizer
positive,alhamdulillah sudah vaksin booster pagi tadi. vaksin pfizer efek : kepala agak pusing tapi tidak terlalu yang berat kaya waktu vaksin dan dgn jenis sinovac. ngantuk dan lengan kiri masih berasa pegel sampai saat ini.,,,,,,,alhamdulillah sudah vaksin booster pagi tadi vaksin pfizer efek  kepala agak pusing tapi tidak terlalu yang berat kaya waktu vaksin dan dgn jenis sinovac ngantuk dan lengan kiri masih berasa pegel sampai saat ini,alhamdulillah sudah vaksin booster pagi tadi vaksin pfizer efek  kepala agak pusing tapi tidak terlalu yang berat kaya waktu vaksin dan dgn jenis sinovac ngantuk dan lengan kiri masih berasa pegel sampai saat ini,"['alhamdulillah', 'sudah', 'vaksin', 'booster', 'pagi', 'tadi', 'vaksin', 'pfizer', 'efek', 'kepala', 'agak', 'pusing', 'tapi', 'tidak', 'terlalu', 'yang', 'berat', 'kaya', 'waktu', 'vaksin', 'dan', 'dgn', 'jenis', 'sinovac', 'ngantuk', 'dan', 'lengan', 'kiri', 'masih', 'berasa', 'pegel', 'sampai', 'saat', 'ini']","['alhamdulillah', 'sudah', 'vaksin', 'booster', 'pagi', 'tadi', 'vaksin', 'pfizer', 'efek', 'kepala', 'sedikit', 'pusing', 'tapi', 'tidak', 'terlalu', 'yang', 'berat', 'seperti', 'waktu', 'vaksin', 'dan', 'dengan', 'jenis', 'sinovac', 'mengantuk', 'dan', 'lengan', 'kiri', 'masih', 'terasa', 'pegal', 'sampai', 'saat', 'ini']","['alhamdulillah', 'vaksin', 'booster', 'pagi', 'tadi', 'vaksin', 'pfizer', 'efek', 'kepala', 'sedikit', 'pusing', 'terlalu', 'berat', 'waktu', 'vaksin', 'jenis', 'sinovac', 'mengantuk', 'lengan', 'kiri', 'terasa', 'pegal']","['alhamdulillah', 'vaksin', 'booster', 'pagi', 'tadi', 'vaksin', 'pfizer', 'efek', 'kepala', 'sedikit', 'pusing', 'terlalu', 'berat', 'waktu', 'vaksin', 'jenis', 'sinovac', 'antuk', 'lengan', 'kiri', 'asa', 'pegal']","['alhamdulillah', 'vaksin', 'booster', 'pagi', 'tadi', 'vaksin', 'pfizer', 'efek', 'kepala', 'sedikit', 'pusing', 'terlalu', 'berat', 'waktu', 'vaksin', 'jenis', 'sinovac', 'mengantuk', 'lengan', 'kiri', 'terasa', 'pegal']",[],[],[],alhamdulillah vaksin booster pagi tadi vaksin pfizer efek kepala sedikit pusing terlalu berat waktu vaksin jenis sinovac antuk lengan kiri asa pegal
positive,"+ booster pfizer dan sejauh ini ga ada efek aneh-aneh. paling cuma agak hiperaktif setelah satu jam disuntik asli kaya abis makan gula kebanyakan. ngga ngantuk, ngga laper, cuma nyeri dikit di daerah sekitar suntikan.",,,,,,, booster pfizer dan sejauh ini ga ada efek anehaneh paling cuma agak hiperaktif setelah satu jam disuntik asli kaya abis makan gula kebanyakan ngga ngantuk ngga laper cuma nyeri dikit di daerah sekitar suntikan, booster pfizer dan sejauh ini ga ada efek anehaneh paling cuma agak hiperaktif setelah satu jam disuntik asli kaya abis makan gula kebanyakan ngga ngantuk ngga laper cuma nyeri dikit di daerah sekitar suntikan,"['booster', 'pfizer', 'dan', 'sejauh', 'ini', 'ga', 'ada', 'efek', 'anehaneh', 'paling', 'cuma', 'agak', 'hiperaktif', 'setelah', 'satu', 'jam', 'disuntik', 'asli', 'kaya', 'abis', 'makan', 'gula', 'kebanyakan', 'ngga', 'ngantuk', 'ngga', 'laper', 'cuma', 'nyeri', 'dikit', 'di', 'daerah', 'sekitar', 'suntikan']","['booster', 'pfizer', 'dan', 'sejauh', 'ini', 'tidak', 'ada', 'efek', 'anehaneh', 'paling', 'hanya', 'sedikit', 'hiperaktif', 'setelah', 'satu', 'jam', 'disuntik', 'asli', 'seperti', 'setelah', 'makan', 'gula', 'kebanyakan', 'tidak', 'mengantuk', 'tidak', 'lapar', 'hanya', 'nyeri', 'sedikit', 'di', 'daerah', 'sekitar', 'suntikkan']","['booster', 'pfizer', 'sejauh', 'efek', 'anehaneh', 'paling', 'sedikit', 'hiperaktif', 'satu', 'jam', 'disuntik', 'asli', 'makan', 'gula', 'kebanyakan', 'mengantuk', 'lapar', 'nyeri', 'sedikit', 'daerah', 'suntikkan']","['booster', 'pfizer', 'jauh', 'efek', 'anehaneh', 'paling', 'sedikit', 'hiperaktif', 'satu', 'jam', 'suntik', 'asli', 'makan', 'gula', 'banyak', 'antuk', 'lapar', 'nyeri', 'sedikit', 'daerah', 'suntik']","['booster', 'pfizer', 'sejauh', 'efek', 'anehaneh', 'paling', 'sedikit', 'hiperaktif', 'satu', 'jam', 'disuntik', 'asli', 'makan', 'gula', 'kebanyakan', 'mengantuk', 'lapar', 'nyeri', 'sedikit', 'daerah', 'suntikkan']",[],[],[],booster pfizer jauh efek anehaneh paling sedikit hiperaktif satu jam suntik asli makan gula banyak antuk lapar nyeri sedikit daerah suntik
positive,"jam setelah vaksin booster dengan jenis pfizer: terpantau gak ada efek samping aneh-aneh. sejauh ini cuma ngerasain lengan pegel dan ngilu kayak abis dipukulin satpol pp. mungkin ""pp"" di ""satpol pp"" itu maksudnya paksin pfizer",,,,,,,jam setelah vaksin booster dengan jenis pfizer terpantau gak ada efek samping anehaneh sejauh ini cuma ngerasain lengan pegel dan ngilu kayak abis dipukulin satpol pp mungkin pp di satpol pp itu maksudnya paksin pfizer,jam setelah vaksin booster dengan jenis pfizer terpantau gak ada efek samping anehaneh sejauh ini cuma ngerasain lengan pegel dan ngilu kayak abis dipukulin satpol pp mungkin pp di satpol pp itu maksudnya paksin pfizer,"['jam', 'setelah', 'vaksin', 'booster', 'dengan', 'jenis', 'pfizer', 'terpantau', 'gak', 'ada', 'efek', 'samping', 'anehaneh', 'sejauh', 'ini', 'cuma', 'ngerasain', 'lengan', 'pegel', 'dan', 'ngilu', 'kayak', 'abis', 'dipukulin', 'satpol', 'pp', 'mungkin', 'pp', 'di', 'satpol', 'pp', 'itu', 'maksudnya', 'paksin', 'pfizer']","['jam', 'setelah', 'vaksin', 'booster', 'dengan', 'jenis', 'pfizer', 'terpantau', 'tidak', 'ada', 'efek', 'samping', 'anehaneh', 'sejauh', 'ini', 'hanya', 'merasakan', 'lengan', 'pegal', 'dan', 'nyeri', 'seperti', 'setelah', 'dipukulin', 'satpol', 'pp', 'mungkin', 'pp', 'di', 'satpol', 'pp', 'itu', 'maksudnya', 'vaksin', 'pfizer']","['jam', 'vaksin', 'booster', 'jenis', 'pfizer', 'terpantau', 'efek', 'samping', 'anehaneh', 'sejauh', 'merasakan', 'lengan', 'pegal', 'nyeri', 'dipukulin', 'satpol', 'pp', 'mungkin', 'pp', 'satpol', 'pp', 'maksudnya', 'vaksin', 'pfizer']","['jam', 'vaksin', 'booster', 'jenis', 'pfizer', 'pantau', 'efek', 'samping', 'anehaneh', 'jauh', 'rasa', 'lengan', 'pegal', 'nyeri', 'dipukulin', 'satpol', 'pp', 'mungkin', 'pp', 'satpol', 'pp', 'maksud', 'vaksin', 'pfizer']","['jam', 'vaksin', 'booster', 'jenis', 'pfizer', 'terpantau', 'efek', 'samping', 'anehaneh', 'sejauh', 'merasakan', 'lengan', 'pegal', 'nyeri', 'dipukulin', 'satpol', 'pp', 'mungkin', 'pp', 'satpol', 'pp', 'maksudnya', 'vaksin', 'pfizer']",[],[],[],jam vaksin booster jenis pfizer pantau efek samping anehaneh jauh rasa lengan pegal nyeri dipukulin satpol pp mungkin pp satpol pp maksud vaksin pfizer
positive,"alhamdulillah, hingga detik ini tidak terasa adanya efek samping. semoga aman terus hingga hari ke . ???????????? @ kota semarang",,,,,,,alhamdulillah hingga detik ini tidak terasa adanya efek samping semoga aman terus hingga hari ke    kota semarang,alhamdulillah hingga detik ini tidak terasa adanya efek samping semoga aman terus hingga hari ke    kota semarang,"['alhamdulillah', 'hingga', 'detik', 'ini', 'tidak', 'terasa', 'adanya', 'efek', 'samping', 'semoga', 'aman', 'terus', 'hingga', 'hari', 'ke', 'kota', 'semarang']","['alhamdulillah', 'hingga', 'detik', 'ini', 'tidak', 'terasa', 'adanya', 'efek', 'samping', 'semoga', 'aman', 'terus', 'hingga', 'hari', 'ke', 'kota', 'semarang']","['alhamdulillah', 'hingga', 'detik', 'terasa', 'adanya', 'efek', 'samping', 'semoga', 'aman', 'terus', 'hingga', 'hari', 'kota', 'semarang']","['alhamdulillah', 'hingga', 'detik', 'asa', 'ada', 'efek', 'samping', 'moga', 'aman', 'terus', 'hingga', 'hari', 'kota', 'semarang']","['alhamdulillah', 'hingga', 'detik', 'terasa', 'adanya', 'efek', 'samping', 'semoga', 'aman', 'terus', 'hingga', 'hari', 'kota', 'semarang']",[],[],[],alhamdulillah hingga detik asa ada efek samping moga aman terus hingga hari kota semarang
negative,nikmatnya efek booster pfizer,,,,,,,nikmatnya efek booster pfizer,nikmatnya efek booster pfizer,"['nikmatnya', 'efek', 'booster', 'pfizer']","['nikmatnya', 'efek', 'booster', 'pfizer']","['nikmatnya', 'efek', 'booster', 'pfizer']","['nikmat', 'efek', 'booster', 'pfizer']","['nikmatnya', 'efek', 'booster', 'pfizer']",[],[],[],nikmat efek booster pfizer
negative,"packing sambil meringis karena lengan gue sakit banget, apa efek pfizer begini",,,,,,,packing sambil meringis karena lengan gue sakit banget apa efek pfizer begini,packing sambil meringis karena lengan gue sakit banget apa efek pfizer begini,"['packing', 'sambil', 'meringis', 'karena', 'lengan', 'gue', 'sakit', 'banget', 'apa', 'efek', 'pfizer', 'begini']","['packing', 'sambil', 'meringis', 'karena', 'lengan', 'aku', 'sakit', 'sekali', 'apa', 'efek', 'pfizer', 'begini']","['packing', 'meringis', 'lengan', 'sakit', 'sekali', 'apa', 'efek', 'pfizer', 'begini']","['packing', 'mering', 'lengan', 'sakit', 'sekali', 'apa', 'efek', 'pfizer', 'begini']","['packing', 'meringis', 'lengan', 'sakit', 'sekali', 'apa', 'efek', 'pfizer', 'begini']",[],[],[],packing mering lengan sakit sekali apa efek pfizer begini
positive,"abis booster vaksin pfizer kerasa lengan lumayan kemeng, dan kepala pusing gini. gatau ini efek samping vaksin atau gegara tadi malem kurang tidur",,,,,,,abis booster vaksin pfizer kerasa lengan lumayan kemeng dan kepala pusing gini gatau ini efek samping vaksin atau gegara tadi malem kurang tidur,abis booster vaksin pfizer kerasa lengan lumayan kemeng dan kepala pusing gini gatau ini efek samping vaksin atau gegara tadi malem kurang tidur,"['abis', 'booster', 'vaksin', 'pfizer', 'kerasa', 'lengan', 'lumayan', 'kemeng', 'dan', 'kepala', 'pusing', 'gini', 'gatau', 'ini', 'efek', 'samping', 'vaksin', 'atau', 'gegara', 'tadi', 'malem', 'kurang', 'tidur']","['setelah', 'booster', 'vaksin', 'pfizer', 'terasa', 'lengan', 'lumayan', 'pusing', 'dan', 'kepala', 'pusing', 'begini', 'gatau', 'ini', 'efek', 'samping', 'vaksin', 'atau', 'karena', 'tadi', 'malam', 'kurang', 'tidur']","['booster', 'vaksin', 'pfizer', 'terasa', 'lengan', 'lumayan', 'pusing', 'kepala', 'pusing', 'begini', 'gatau', 'efek', 'samping', 'vaksin', 'tadi', 'malam', 'kurang', 'tidur']","['booster', 'vaksin', 'pfizer', 'asa', 'lengan', 'lumayan', 'pusing', 'kepala', 'pusing', 'begini', 'gatau', 'efek', 'samping', 'vaksin', 'tadi', 'malam', 'kurang', 'tidur']","['booster', 'vaksin', 'pfizer', 'terasa', 'lengan', 'lumayan', 'pusing', 'kepala', 'pusing', 'begini', 'gatau', 'efek', 'samping', 'vaksin', 'tadi', 'malam', 'kurang', 'tidur']",[],[],[],booster vaksin pfizer asa lengan lumayan pusing kepala pusing begini gatau efek samping vaksin tadi malam kurang tidur
negative,pfizer efek puyengnya lama yaa. perasaan  sinovac ga berasa apa-apa.,,,,,,,pfizer efek puyengnya lama yaa perasaan  sinovac ga berasa apaapa,pfizer efek puyengnya lama yaa perasaan  sinovac ga berasa apaapa,"['pfizer', 'efek', 'puyengnya', 'lama', 'yaa', 'perasaan', 'sinovac', 'ga', 'berasa', 'apaapa']","['pfizer', 'efek', 'pusingnya', 'lama', 'iya', 'perasaan', 'sinovac', 'tidak', 'terasa', 'apaapa']","['pfizer', 'efek', 'pusingnya', 'lama', 'perasaan', 'sinovac', 'terasa', 'apaapa']","['pfizer', 'efek', 'pusing', 'lama', 'asa', 'sinovac', 'asa', 'apaapa']","['pfizer', 'efek', 'pusingnya', 'lama', 'perasaan', 'sinovac', 'terasa', 'apaapa']",[],[],[],pfizer efek pusing lama asa sinovac asa apaapa
positive,sejauh ini belum ada efek samping atau gejala setelah suntik vaksin booster pfizer. Sejauh ini bagus,,,,,,,sejauh ini belum ada efek samping atau gejala setelah suntik vaksin booster pfizer Sejauh ini bagus,sejauh ini belum ada efek samping atau gejala setelah suntik vaksin booster pfizer sejauh ini bagus,"['sejauh', 'ini', 'belum', 'ada', 'efek', 'samping', 'atau', 'gejala', 'setelah', 'suntik', 'vaksin', 'booster', 'pfizer', 'sejauh', 'ini', 'bagus']","['sejauh', 'ini', 'belum', 'ada', 'efek', 'samping', 'atau', 'gejala', 'setelah', 'suntik', 'vaksin', 'booster', 'pfizer', 'sejauh', 'ini', 'bagus']","['sejauh', 'efek', 'samping', 'gejala', 'suntik', 'vaksin', 'booster', 'pfizer', 'sejauh', 'bagus']","['jauh', 'efek', 'samping', 'gejala', 'suntik', 'vaksin', 'booster', 'pfizer', 'jauh', 'bagus']","['sejauh', 'efek', 'samping', 'gejala', 'suntik', 'vaksin', 'booster', 'pfizer', 'sejauh', 'bagus']",[],[],[],jauh efek samping gejala suntik vaksin booster pfizer jauh bagus
positive,ini ngantuk itu krna efek kenyang atau efek pfizer sih?wkwk,,,,,,,ini ngantuk itu krna efek kenyang atau efek pfizer sihwkwk,ini ngantuk itu krna efek kenyang atau efek pfizer sihwkwk,"['ini', 'ngantuk', 'itu', 'krna', 'efek', 'kenyang', 'atau', 'efek', 'pfizer', 'sihwkwk']","['ini', 'mengantuk', 'itu', 'karena', 'efek', 'kenyang', 'atau', 'efek', 'pfizer', 'sihwkwk']","['mengantuk', 'efek', 'kenyang', 'efek', 'pfizer', 'sihwkwk']","['antuk', 'efek', 'kenyang', 'efek', 'pfizer', 'sihwkwk']","['mengantuk', 'efek', 'kenyang', 'efek', 'pfizer', 'sihwkwk']",[],[],[],antuk efek kenyang efek pfizer sihwkwk
positive,"vaksin , sinovac. pfizer tanggal januari, bekas suntikan pegel, tapi masih bisa digerakin, ngangkat barang juga. + lebih pegel tapi masih bisa digerakin, sore badan hangat tapi gak sampai demam, pusing dikit tapi bentar",,,,,,,vaksin  sinovac pfizer tanggal januari bekas suntikan pegel tapi masih bisa digerakin ngangkat barang juga  lebih pegel tapi masih bisa digerakin sore badan hangat tapi gak sampai demam pusing dikit tapi bentar,vaksin  sinovac pfizer tanggal januari bekas suntikan pegel tapi masih bisa digerakin ngangkat barang juga  lebih pegel tapi masih bisa digerakin sore badan hangat tapi gak sampai demam pusing dikit tapi bentar,"['vaksin', 'sinovac', 'pfizer', 'tanggal', 'januari', 'bekas', 'suntikan', 'pegel', 'tapi', 'masih', 'bisa', 'digerakin', 'ngangkat', 'barang', 'juga', 'lebih', 'pegel', 'tapi', 'masih', 'bisa', 'digerakin', 'sore', 'badan', 'hangat', 'tapi', 'gak', 'sampai', 'demam', 'pusing', 'dikit', 'tapi', 'bentar']","['vaksin', 'sinovac', 'pfizer', 'tanggal', 'januari', 'bekas', 'suntikkan', 'pegal', 'tapi', 'masih', 'bisa', 'digerakan', 'mengangkat', 'barang', 'juga', 'lebih', 'pegal', 'tapi', 'masih', 'bisa', 'digerakan', 'sore', 'badan', 'hangat', 'tapi', 'tidak', 'sampai', 'demam', 'pusing', 'sedikit', 'tapi', 'bentar']","['vaksin', 'sinovac', 'pfizer', 'tanggal', 'januari', 'bekas', 'suntikkan', 'pegal', 'digerakan', 'mengangkat', 'barang', 'lebih', 'pegal', 'digerakan', 'sore', 'badan', 'hangat', 'demam', 'pusing', 'sedikit', 'bentar']","['vaksin', 'sinovac', 'pfizer', 'tanggal', 'januari', 'bekas', 'suntik', 'pegal', 'gera', 'angkat', 'barang', 'lebih', 'pegal', 'gera', 'sore', 'badan', 'hangat', 'demam', 'pusing', 'sedikit', 'bentar']","['vaksin', 'sinovac', 'pfizer', 'tanggal', 'januari', 'bekas', 'suntikkan', 'pegal', 'digerakan', 'mengangkat', 'barang', 'lebih', 'pegal', 'digerakan', 'sore', 'badan', 'hangat', 'demam', 'pusing', 'sedikit', 'bentar']",[],[],[],vaksin sinovac pfizer tanggal januari bekas suntik pegal gera angkat barang lebih pegal gera sore badan hangat demam pusing sedikit bentar
positive,aku vaksin booster yg pfizer aman nder. cuma tangan lebih pegel dan kemeng bgt tapi cuma - hari doang sama rada sakit kepala tp ga nyampe sehari udh sembuh. selebihnya ga ada efek apa. gatau klo mungkin tiap org beda ya,,,,,,,aku vaksin booster yg pfizer aman nder cuma tangan lebih pegel dan kemeng bgt tapi cuma  hari doang sama rada sakit kepala tp ga nyampe sehari udh sembuh selebihnya ga ada efek apa gatau klo mungkin tiap org beda ya,aku vaksin booster yg pfizer aman nder cuma tangan lebih pegel dan kemeng bgt tapi cuma  hari doang sama rada sakit kepala tp ga nyampe sehari udh sembuh selebihnya ga ada efek apa gatau klo mungkin tiap org beda ya,"['aku', 'vaksin', 'booster', 'yg', 'pfizer', 'aman', 'nder', 'cuma', 'tangan', 'lebih', 'pegel', 'dan', 'kemeng', 'bgt', 'tapi', 'cuma', 'hari', 'doang', 'sama', 'rada', 'sakit', 'kepala', 'tp', 'ga', 'nyampe', 'sehari', 'udh', 'sembuh', 'selebihnya', 'ga', 'ada', 'efek', 'apa', 'gatau', 'klo', 'mungkin', 'tiap', 'org', 'beda', 'ya']","['aku', 'vaksin', 'booster', 'yang', 'pfizer', 'aman', 'nder', 'hanya', 'tangan', 'lebih', 'pegal', 'dan', 'pusing', 'sekali', 'tapi', 'hanya', 'hari', 'saja', 'sama', 'sedikit', 'sakit', 'kepala', 'tapi', 'tidak', 'sampai', 'sehari', 'sudah', 'sembuh', 'selebihnya', 'tidak', 'ada', 'efek', 'apa', 'gatau', 'kalau', 'mungkin', 'tiap', 'orang', 'beda', 'ya']","['vaksin', 'booster', 'pfizer', 'aman', 'tangan', 'lebih', 'pegal', 'pusing', 'sekali', 'hari', 'sama', 'sedikit', 'sakit', 'kepala', 'sehari', 'sembuh', 'selebihnya', 'efek', 'apa', 'gatau', 'kalau', 'mungkin', 'tiap', 'orang', 'beda']","['vaksin', 'booster', 'pfizer', 'aman', 'tangan', 'lebih', 'pegal', 'pusing', 'sekali', 'hari', 'sama', 'sedikit', 'sakit', 'kepala', 'hari', 'sembuh', 'lebih', 'efek', 'apa', 'gatau', 'kalau', 'mungkin', 'tiap', 'orang', 'beda']","['vaksin', 'booster', 'pfizer', 'aman', 'tangan', 'lebih', 'pegal', 'pusing', 'sekali', 'hari', 'sama', 'sedikit', 'sakit', 'kepala', 'sehari', 'sembuh', 'selebihnya', 'efek', 'apa', 'gatau', 'kalau', 'mungkin', 'tiap', 'orang', 'beda']",[],[],[],vaksin booster pfizer aman tangan lebih pegal pusing sekali hari sama sedikit sakit kepala hari sembuh lebih efek apa gatau kalau mungkin tiap orang beda
negative,"efek vaksin booster pfizer : - sakit kepala - lapar banget bener beda laparnya ama biasanya, kaya klo udh laper ga bisa nahan banget? - sakit di lengan bekas suntik, bener seluruh lengan sakitnya bukan dibekas suntiknya aja - ngantukan sih",,,,,,,efek vaksin booster pfizer   sakit kepala  lapar banget bener beda laparnya ama biasanya kaya klo udh laper ga bisa nahan banget  sakit di lengan bekas suntik bener seluruh lengan sakitnya bukan dibekas suntiknya aja  ngantukan sih,efek vaksin booster pfizer   sakit kepala  lapar banget bener beda laparnya ama biasanya kaya klo udh laper ga bisa nahan banget  sakit di lengan bekas suntik bener seluruh lengan sakitnya bukan dibekas suntiknya aja  ngantukan sih,"['efek', 'vaksin', 'booster', 'pfizer', 'sakit', 'kepala', 'lapar', 'banget', 'bener', 'beda', 'laparnya', 'ama', 'biasanya', 'kaya', 'klo', 'udh', 'laper', 'ga', 'bisa', 'nahan', 'banget', 'sakit', 'di', 'lengan', 'bekas', 'suntik', 'bener', 'seluruh', 'lengan', 'sakitnya', 'bukan', 'dibekas', 'suntiknya', 'aja', 'ngantukan', 'sih']","['efek', 'vaksin', 'booster', 'pfizer', 'sakit', 'kepala', 'lapar', 'sekali', 'benar', 'beda', 'laparnya', 'sama', 'biasanya', 'seperti', 'kalau', 'sudah', 'lapar', 'tidak', 'bisa', 'tahan', 'sekali', 'sakit', 'di', 'lengan', 'bekas', 'suntik', 'benar', 'seluruh', 'lengan', 'sakitnya', 'bukan', 'dibekas', 'suntiknya', 'saja', 'mengantuk', 'sih']","['efek', 'vaksin', 'booster', 'pfizer', 'sakit', 'kepala', 'lapar', 'sekali', 'benar', 'beda', 'laparnya', 'sama', 'biasanya', 'kalau', 'lapar', 'tahan', 'sekali', 'sakit', 'lengan', 'bekas', 'suntik', 'benar', 'seluruh', 'lengan', 'sakitnya', 'bukan', 'dibekas', 'suntiknya', 'mengantuk']","['efek', 'vaksin', 'booster', 'pfizer', 'sakit', 'kepala', 'lapar', 'sekali', 'benar', 'beda', 'lapar', 'sama', 'biasa', 'kalau', 'lapar', 'tahan', 'sekali', 'sakit', 'lengan', 'bekas', 'suntik', 'benar', 'seluruh', 'lengan', 'sakit', 'bukan', 'bekas', 'suntik', 'antuk']","['efek', 'vaksin', 'booster', 'pfizer', 'sakit', 'kepala', 'lapar', 'sekali', 'benar', 'beda', 'laparnya', 'sama', 'biasanya', 'kalau', 'lapar', 'tahan', 'sekali', 'sakit', 'lengan', 'bekas', 'suntik', 'benar', 'seluruh', 'lengan', 'sakitnya', 'bukan', 'dibekas', 'suntiknya', 'mengantuk']",[],[],[],efek vaksin booster pfizer sakit kepala lapar sekali benar beda lapar sama biasa kalau lapar tahan sekali sakit lengan bekas suntik benar seluruh lengan sakit bukan bekas suntik antuk
